web_scraper_order,web_scraper_start_url,type shoes,price,address,image_link
"1765183814-36","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381990_uploaded_image1_1593697677.jpg"
"1765183814-37","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381164_uploaded_image1_1593689401.jpg"
"1765183814-38","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Jordan sneakers","30,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381159_uploaded_image1_1593689347.jpg"
"1765183814-39","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Puma sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381156_uploaded_image1_1593689310.jpg"
"1765183814-40","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","22,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381150_uploaded_image1_1593689277.jpg"
"1765183814-41","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381149_uploaded_image1_1593689248.jpg"
"1765183814-42","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sneakers","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2381138_uploaded_image1_1593689122.jpg"
"1765183814-43","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381135_uploaded_image1_1593689108.jpg"
"1765183814-44","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381110_uploaded_image1_1593688845.jpg"
"1765183814-45","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381103_uploaded_image1_1593688764.jpg"
"1765183814-46","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381097_uploaded_image1_1593688686.jpg"
"1765183814-47","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James sneakers","2,500 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381088_uploaded_image1_1593688597.jpg"
"1765183814-48","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381083_uploaded_image1_1593688561.jpg"
"1765183814-49","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air Force One sneakers","22,500 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381080_uploaded_image1_1593688525.jpg"
"1765183814-50","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Zoom sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381075_uploaded_image1_1593688494.jpg"
"1765183814-51","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Jordan One sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381072_uploaded_image1_1593688447.jpg"
"1765183814-52","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381060_uploaded_image1_1593688296.jpg"
"1765183814-53","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Puma sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381051_uploaded_image1_1593688201.jpg"
"1765183814-54","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","22,500 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381046_uploaded_image1_1593688175.jpg"
"1765183814-55","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Jordan sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381043_uploaded_image1_1593688137.jpg"
"1765183814-56","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Puma sneakers","22,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381037_uploaded_image1_1593688096.jpg"
"1765183814-57","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381032_uploaded_image1_1593688049.jpg"
"1765183814-58","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air Force One sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2381029_uploaded_image1_1593688002.jpg"
"1765183814-59","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sebago moccasins","11,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2379097_uploaded_image1_1593647183.jpg"
"1765183814-60","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sebago moccasins","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2379094_uploaded_image1_1593647133.jpg"
"1765183814-61","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sebago moccasins","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2379089_uploaded_image1_1593647078.jpg"
"1765183814-62","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","Price on request","Sicap Liberté, Dakar, Senegal","https://images.coinafrique.com/thumb_2378954_uploaded_image1_1593645418.jpg"
"1765183814-63","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","Price on request","Sicap Liberté, Dakar, Senegal","https://images.coinafrique.com/thumb_2378915_uploaded_image1_1593645061.jpg"
"1765183814-64","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","AE7 Sneakers","15,000 CFA","Greater Dakar, Dakar, Senegal","https://images.coinafrique.com/thumb_2378174_uploaded_image1_1593633287.jpg"
"1765183814-65","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air Shoes","15,000 CFA","Greater Dakar, Dakar, Senegal","https://images.coinafrique.com/thumb_2378153_uploaded_image1_1593633013.jpg"
"1765183814-66","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Adidas sneakers","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2377997_uploaded_image1_1593630610.jpg"
"1765183814-67","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prada Cloudbust Thunder Shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2377910_uploaded_image1_1593629223.jpg"
"1765183814-68","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2377364_uploaded_image1_1593623348.jpg"
"1765183814-69","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2377358_uploaded_image1_1593623299.jpg"
"1765183814-70","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's sneakers","15,000 CFA","Thies, Senegal","https://images.coinafrique.com/thumb_2377289_uploaded_image1_1593622297.jpg"
"1765183814-71","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","13,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2377090_uploaded_image1_1593620055.jpg"
"1765183814-72","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike shoes","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2376952_uploaded_image1_1593618542.jpg"
"1765183814-73","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Alexander McQueen shoes","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2376950_uploaded_image2_1593618507.jpeg"
"1765183814-74","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","McQueen sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2376946_uploaded_image1_1593618467.jpg"
"1765183814-75","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's sandals","12,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2376547_uploaded_image1_1593613116.jpg"
"1765183814-76","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's slippers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2376519_uploaded_image1_1593612778.jpg"
"1765183814-77","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","All Star Shoes","15,000 CFA","Mermoz-Sacré Coeur, Dakar, Senegal","https://images.coinafrique.com/thumb_2376261_uploaded_image1_1593609171.jpg"
"1765183814-78","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","13,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2375482_uploaded_image1_1593601845.jpg"
"1765183814-79","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2375264_uploaded_image1_1593599694.jpg"
"1765183814-80","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Jordan sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2375254_uploaded_image1_1593599595.jpg"
"1765183814-81","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike 270 Shoe","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2375251_uploaded_image1_1593599553.jpg"
"1765183814-82","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Shox sneakers","22,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2375247_uploaded_image1_1593599504.jpg"
"1765183814-83","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Wallabies Shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2374848_uploaded_image1_1593593815.jpg"
"1765183814-84","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2374843_uploaded_image1_1593593770.jpg"
"1765183969-1681","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Leather boots - suede","Price on request","Geule Tapée, Dakar, Senegal","https://images.coinafrique.com/thumb_2794448_uploaded_image1_1606611048.jpg"
"1765183969-1682","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Vans Old Dior","20,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_2794435_uploaded_image1_1606610211.jpg"
"1765183969-1683","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Van's Dior sneakers","20,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_2794429_uploaded_image1_1606610077.jpg"
"1765183969-1684","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","dress shoes","20,000 CFA","Mbao, Dakar, Senegal","https://images.coinafrique.com/thumb_2794377_uploaded_image1_1606606285.jpg"
"1765183969-1685","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's Shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2794228_uploaded_image1_1606597284.jpg"
"1765183969-1686","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's sneakers","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2793977_uploaded_image1_1606585375.jpg"
"1765183969-1687","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Sneakers","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2793976_uploaded_image1_1606585325.jpg"
"1765183969-1688","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's Nike sneakers","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2793947_uploaded_image1_1606584275.jpg"
"1765183969-1689","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's sneakers","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2793931_uploaded_image1_1606584034.jpg"
"1765183969-1690","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Sneakers","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2793930_uploaded_image1_1606583990.jpg"
"1765183969-1691","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's sneakers","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2793928_uploaded_image1_1606583933.jpg"
"1765183969-1692","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Nike Air Jordan One sneakers","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_2793085_uploaded_image1_1606558227.jpg"
"1765183969-1693","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's and women's shoes","9,500 CFA","Patte d'oie, Dakar, Senegal","https://images.coinafrique.com/thumb_2792588_uploaded_image1_1606524451.jpg"
"1765183969-1694","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","11,000 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_2792304_uploaded_image1_1606511339.jpg"
"1765183969-1695","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Mac Queen shoes","12,500 CFA","Grand Yoff, Dakar, Senegal","https://images.coinafrique.com/thumb_2792230_uploaded_image1_1606508205.jpg"
"1765183969-1696","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Nike sneakers","40,000 CFA","Colobane, Dakar, Senegal","https://images.coinafrique.com/thumb_2792150_uploaded_image1_1606505890.jpg"
"1765183969-1697","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","dress shoes","20,000 CFA","West Fairgrounds, Dakar, Senegal","https://images.coinafrique.com/thumb_2792018_uploaded_image1_1606501511.jpg"
"1765183969-1698","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's sneakers","25,000 CFA","Colobane, Dakar, Senegal","https://images.coinafrique.com/thumb_2791253_uploaded_image2_1606479405.jpeg"
"1765183969-1699","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Adidas Adiprene Shoes","Price on request","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_2790979_uploaded_image1_1606473364.jpg"
"1765183969-1700","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","8,000 CFA","Grand Yoff, Dakar, Senegal","https://images.coinafrique.com/thumb_2790879_uploaded_image1_1606470485.jpg"
"1765183969-1701","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's and women's shoes","9,500 CFA","Patte d'oie, Dakar, Senegal","https://images.coinafrique.com/thumb_2790408_uploaded_image1_1606436055.jpg"
"1765183969-1702","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Adidas men's sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2789517_uploaded_image1_1606408545.jpg"
"1765183969-1703","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Adidas men's sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2789507_uploaded_image1_1606408085.jpg"
"1765183969-1704","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Airness men's sneakers","22,500 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2789494_uploaded_image1_1606407627.jpg"
"1765183969-1705","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's leather shoes","7,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_2789294_uploaded_image1_1606402548.jpg"
"1765183969-1706","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Sebago men's moccasins","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2789215_uploaded_image1_1606400512.jpg"
"1765183969-1707","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's and women's shoes","9,500 CFA","Grand Yoff, Dakar, Senegal","https://images.coinafrique.com/thumb_2789056_uploaded_image1_1606396890.jpg"
"1765183969-1708","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2788604_uploaded_image1_1606386807.jpg"
"1765183969-1709","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","25,000 CFA","Colobane, Dakar, Senegal","https://images.coinafrique.com/thumb_2788504_uploaded_image1_1606384448.jpg"
"1765183969-1710","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Unisex shoes","10,500 CFA","Patte d'oie, Dakar, Senegal","https://images.coinafrique.com/thumb_2788303_uploaded_image1_1606378319.jpg"
"1765183969-1711","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Unisex shoes","9,500 CFA","Grand Yoff, Dakar, Senegal","https://images.coinafrique.com/thumb_2788018_uploaded_image1_1606348470.jpg"
"1765183969-1712","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Unisex shoes","Price on request","Grand Yoff, Dakar, Senegal","https://images.coinafrique.com/thumb_2787565_uploaded_image2_1606331780.jpeg"
"1765183969-1713","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","13,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2787368_uploaded_image1_1606324742.jpg"
"1765183969-1714","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's sneakers","9,500 CFA","Grand Yoff, Dakar, Senegal","https://images.coinafrique.com/thumb_2787024_uploaded_image1_1606315801.jpg"
"1765183969-1715","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Dior Air Max 270 sneakers","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2786686_uploaded_image1_1606308729.jpg"
"1765183969-1716","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Dior men's sneakers","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2786682_uploaded_image1_1606308627.jpg"
"1765183969-1717","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Jordan One Cactus Jack sneakers","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2786528_uploaded_image1_1606305695.jpg"
"1765183969-1718","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Jordan 4 sneakers","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2786520_uploaded_image1_1606305512.jpg"
"1765183969-1719","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Air Max React sneakers","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2786517_uploaded_image1_1606305427.jpg"
"1765183969-1720","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's Jordan One Sneakers","Price on request","Diamniadio, Senegal","https://images.coinafrique.com/thumb_2786511_uploaded_image1_1606305175.jpg"
"1765183969-1721","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Jordan 6 sneakers","Price on request","Diamniadio, Senegal","https://images.coinafrique.com/thumb_2786465_uploaded_image1_1606303989.jpg"
"1765183969-1722","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Louboutin sneakers","30,000 CFA","Colobane, Dakar, Senegal","https://images.coinafrique.com/thumb_2786141_uploaded_image1_1606297824.jpg"
"1765183969-1723","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's sandals","3,500 CFA","Biscuit factory, Dakar, Senegal","https://images.coinafrique.com/thumb_2785669_uploaded_image1_1606269764.jpg"
"1765183969-1724","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Puma shoes","9,500 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_2785560_uploaded_image1_1606260561.jpg"
"1765183969-1725","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Air Force Shoes - Nike - Adidas","9,500 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_2785537_uploaded_image1_1606259967.jpg"
"1765183969-1726","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","25,000 CFA","Pikine, Senegal","https://images.coinafrique.com/thumb_2783239_uploaded_image1_1606196512.jpg"
"1765183969-1727","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","25,000 CFA","Pikine, Senegal","https://images.coinafrique.com/thumb_2783236_uploaded_image1_1606196092.jpg"
"1765183969-1728","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's shoes","25,000 CFA","Pikine, Senegal","https://images.coinafrique.com/thumb_2783235_uploaded_image1_1606195848.jpg"
"1765183969-1729","https://sn.coinafrique.com/categorie/chaussures-homme?page=99","Men's sneakers","25,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_2783129_uploaded_image1_1606179504.jpg"
