web_scraper_order,web_scraper_start_url,type_clothes,price,address,image_link
"1765230110-54","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's set","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_780854_uploaded_image1_1564061441.75.png"
"1765230110-55","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","5-Piece Boys' Baby Bottle Set in Blue - starting from ...","1,900 CFA","Sicap Liberté, Dakar, Senegal","https://images.coinafrique.com/thumb_777756_uploaded_image1_1563987300.49.png"
"1765230110-56","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777530_uploaded_image1_1563983540.87.png"
"1765230110-57","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777518_uploaded_image1_1563983306.57.png"
"1765230110-58","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777499_uploaded_image1_1563983051.01.png"
"1765230110-59","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","girl's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777479_uploaded_image1_1563982898.84.png"
"1765230110-60","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","girl's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777474_uploaded_image1_1563982835.05.png"
"1765230110-61","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777469_uploaded_image1_1563982780.11.png"
"1765230110-62","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777455_uploaded_image1_1563982643.5.png"
"1765230110-63","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777414_uploaded_image1_1563982287.77.png"
"1765230110-64","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777403_uploaded_image1_1563982192.33.png"
"1765230110-65","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777221_uploaded_image1_1563980200.54.png"
"1765230110-66","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Little girl's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777193_uploaded_image1_1563979627.11.png"
"1765230110-67","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777133_uploaded_image1_1563978827.04.png"
"1765230110-68","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777129_uploaded_image1_1563978782.04.png"
"1765230110-69","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777120_uploaded_image1_1563978720.19.png"
"1765230110-70","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777117_uploaded_image1_1563978670.23.png"
"1765230110-71","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777111_uploaded_image1_1563978617.41.png"
"1765230110-72","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777045_uploaded_image1_1563977929.01.png"
"1765230110-73","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777036_uploaded_image1_1563977800.29.png"
"1765230110-74","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777032_uploaded_image1_1563977727.75.png"
"1765230110-75","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777027_uploaded_image1_1563977675.97.png"
"1765230110-76","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777023_uploaded_image1_1563977622.42.png"
"1765230110-77","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777019_uploaded_image1_1563977556.39.png"
"1765230110-78","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777015_uploaded_image1_1563977489.37.png"
"1765230110-79","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777013_uploaded_image1_1563977453.51.png"
"1765230110-80","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_777011_uploaded_image1_1563977395.81.png"
"1765230110-81","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_776960_uploaded_image1_1563976874.21.png"
"1765230110-82","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_776951_uploaded_image1_1563976809.34.png"
"1765230110-83","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_776102_uploaded_image1_1563966374.5.png"
"1765230110-84","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_776078_uploaded_image1_1563965884.05.png"
"1765230110-85","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_776065_uploaded_image1_1563965793.55.png"
"1765230110-86","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_774845_uploaded_image1_1563929744.94.png"
"1765230110-87","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dresses","Price on request","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_774840_uploaded_image1_1563929589.59.png"
"1765230110-88","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Baby clothes","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_774806_uploaded_image1_1563928347.37.png"
"1765230110-89","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Baby clothes","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_774803_uploaded_image1_1563928268.84.png"
"1765230110-90","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_772978_uploaded_image1_1563889449.35.png"
"1765230110-91","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_772928_uploaded_image1_1563888978.63.png"
"1765230110-92","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_772900_uploaded_image1_1563888684.79.png"
"1765230110-93","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","T-shirt","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_772515_uploaded_image1_1563884937.81.png"
"1765230110-94","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dresses","Price on request","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_770101_uploaded_image1_1563822944.92.png"
"1765230110-95","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dresses","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_766924_uploaded_image1_1563733037.86.png"
"1765230110-96","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's costume","20,000 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_766156_uploaded_image1_1563699576.64.png"
"1765230110-97","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Child's Costume","20,000 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_766149_uploaded_image1_1563699401.63.png"
"1765230110-98","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_765642_uploaded_image1_1563665910.22.png"
"1765230110-99","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's Djellaba","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_765640_uploaded_image1_1563665850.78.png"
"1765230110-100","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's Djellaba","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_765637_uploaded_image1_1563665776.21.png"
"1765230110-101","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Les Parcelles Assainies, Dakar, Senegal","https://images.coinafrique.com/thumb_762906_uploaded_image1_1563574544.52.png"
"1765230110-102","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress with satchel","10,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_760606_uploaded_image1_1563527782.19.png"
"1765230110-103","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Chic baby outfit","10,000 CFA","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_760600_uploaded_image1_1563527705.83.png"
"1765230110-104","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Girls' outfit","8,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_760599_uploaded_image1_1563527651.42.png"
"1765230110-105","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress with a small train","12,000 CFA","Ouakam, Dakar, Senegal","https://images.coinafrique.com/thumb_760597_uploaded_image1_1563527596.64.png"
"1765230110-106","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","10,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_760595_uploaded_image1_1563527531.24.png"
"1765230110-107","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","girls' jogging suits","3,000 CFA","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_760586_uploaded_image1_1563527322.48.png"
"1765230110-108","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Adorable dresses for children","10,000 CFA","Senegal","https://images.coinafrique.com/thumb_afrikannonce_1011525_uploaded_image1_1569956572.46.jpg"
"1765230110-109","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Embroidered children's dress","12,000 CFA","Senegal","https://images.coinafrique.com/thumb_afrikannonce_1011523_uploaded_image1_1569956567.47.jpg"
"1765230110-110","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Pretty wax print dresses","8,000 CFA","Senegal","https://images.coinafrique.com/thumb_afrikannonce_1011524_uploaded_image1_1569956569.73.jpg"
"1765230110-111","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's costume","20,000 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_752448_uploaded_image1_1563350256.56.png"
"1765230110-112","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's jacket","18,000 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_752408_uploaded_image1_1563349196.32.png"
"1765230281-113","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's dress","Price on request","Dakar-Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_1169730_uploaded_image1_1573162473.44.png"
"1765230281-114","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothing for children and adults","5,000 CFA","Ngor, Dakar, Senegal","https://images.coinafrique.com/thumb_1164929_uploaded_image1_1573080199.92.png"
"1765230281-115","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's Clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1159944_uploaded_image1_1572994078.74.png"
"1765230281-116","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's dresses","10,000 CFA","Greater Dakar, Dakar, Senegal","https://images.coinafrique.com/thumb_1159823_uploaded_image1_1572990841.8.png"
"1765230281-117","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1145063_uploaded_image1_1572702832.34.png"
"1765230281-118","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1145052_uploaded_image1_1572702578.77.png"
"1765230281-119","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1145048_uploaded_image1_1572702516.61.png"
"1765230281-120","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habit","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1145043_uploaded_image1_1572702415.56.png"
"1765230281-121","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1145031_uploaded_image1_1572702198.09.png"
"1765230281-122","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1144936_uploaded_image1_1572700510.43.png"
"1765230281-123","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1144927_uploaded_image1_1572700444.87.png"
"1765230281-124","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1144902_uploaded_image1_1572700139.58.png"
"1765230281-125","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1144898_uploaded_image1_1572700087.14.png"
"1765230281-126","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_1144890_uploaded_image1_1572699984.7.png"
"1765230281-127","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1144880_uploaded_image1_1572699758.72.png"
"1765230281-128","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's clothing","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1144872_uploaded_image1_1572699712.8.png"
"1765230281-129","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's Set","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_1144870_uploaded_image1_1572699678.95.png"
"1765230281-130","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's set","10,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_1144863_uploaded_image1_1572699593.81.png"
"1765230281-131","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's clothing","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_1144859_uploaded_image1_1572699549.63.png"
"1765230281-132","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's set","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_1144822_uploaded_image1_1572699281.14.png"
"1765230281-133","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's pullover","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_1121633_uploaded_image1_1573928648.55.png"
"1765230281-134","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Clothes","Price on request","Point E, Dakar, Senegal","https://images.coinafrique.com/thumb_1120161_uploaded_image1_1572249640.19.png"
"1765230281-135","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Swimsuits","7,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_1118621_uploaded_image1_1573389584.27.png"
"1765230281-136","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's clothing and accessories","Price on request","Hann Bel-Air, Dakar, Senegal","https://images.coinafrique.com/thumb_1114952_uploaded_image1_1572104975.89.png"
"1765230281-137","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Children's clothing","5,000 CFA","Hann Bel-Air, Dakar, Senegal","https://images.coinafrique.com/thumb_1108134_uploaded_image1_1571966882.1.png"
